                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81145,                0.45149,                0.93717,                0.77787,                0.67605,                0.69027,                0.47794,                 1.1154,                0.68376,                 1.0704,              0.0033222,              0.0033222,              0.0033222
                      2,                 0.8497,                0.46635,                0.94234,                0.75645,                0.67349,                0.68736,                0.47091,                 1.1473,                0.72143,                 1.0752,              0.0066523,              0.0066523,              0.0066523
                      3,                0.92454,                0.50908,                 0.9659,                 0.7836,                 0.6049,                 0.6673,                0.43431,                 1.2853,                0.78144,                  1.114,               0.009979,               0.009979,               0.009979
                      4,                 1.0412,                0.58973,                 1.0094,                0.69971,                0.62623,                0.62574,                0.39399,                  1.334,                0.79599,                 1.1188,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.0843,                0.62395,                 1.0258,                0.75458,                0.60345,                0.64566,                0.40678,                 1.3412,                0.83838,                 1.1357,              0.0099802,              0.0099802,              0.0099802
                      6,                  1.113,                0.64282,                   1.04,                0.65703,                0.65495,                0.63193,                0.39589,                 1.3148,                0.81429,                 1.1112,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1158,                0.65456,                  1.044,                0.68365,                0.60931,                0.62006,                 0.3908,                 1.3599,                0.82454,                 1.1318,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.1153,                 0.6446,                 1.0415,                0.67222,                0.62751,                0.61951,                0.39306,                 1.4078,                0.86217,                 1.1605,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.1248,                0.65711,                 1.0429,                 0.7147,                0.60056,                0.63123,                0.39372,                 1.3612,                0.84543,                 1.1263,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1209,                0.65718,                 1.0456,                0.70589,                0.64423,                0.63935,                0.40233,                 1.3592,                0.84187,                 1.1374,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.1366,                0.66183,                 1.0495,                0.72367,                0.58801,                0.62427,                 0.3894,                 1.4282,                0.87315,                 1.1705,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.1257,                0.66067,                  1.051,                0.71251,                0.65674,                0.65181,                0.40458,                 1.3364,                0.82274,                 1.1274,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.1355,                0.66285,                 1.0465,                0.73665,                0.63812,                0.67421,                0.41886,                 1.3045,                0.79651,                 1.1061,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.1374,                0.67027,                 1.0501,                 0.7318,                0.61595,                0.64824,                0.40494,                 1.3708,                0.85199,                 1.1314,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.1395,                0.67039,                  1.054,                0.69168,                 0.6393,                0.64069,                0.40106,                 1.3412,                0.79095,                 1.1146,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.1468,                0.67054,                 1.0537,                0.69555,                0.63169,                0.64723,                0.40256,                 1.3283,                 0.8207,                 1.1268,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.1249,                0.65433,                 1.0514,                0.69476,                0.63976,                0.63132,                0.39238,                 1.3543,                0.83033,                 1.1312,              0.0099208,              0.0099208,              0.0099208
                     18,                  1.145,                0.66371,                 1.0515,                0.68499,                0.61794,                0.62107,                0.37802,                  1.384,                0.84074,                 1.1387,              0.0099159,              0.0099159,              0.0099159
                     19,                 1.1308,                0.66273,                 1.0512,                0.74554,                0.59758,                0.62233,                 0.3818,                 1.4067,                0.84777,                 1.1492,              0.0099109,              0.0099109,              0.0099109
                     20,                 1.1306,                0.66523,                 1.0495,                0.72848,                0.61443,                0.64016,                0.39336,                 1.3683,                0.82426,                 1.1373,               0.009906,               0.009906,               0.009906
                     21,                 1.1475,                0.66764,                 1.0549,                0.73981,                0.63332,                0.64485,                0.40056,                 1.3047,                0.79706,                  1.111,               0.009901,               0.009901,               0.009901
                     22,                 1.1409,                0.67103,                 1.0547,                0.68972,                0.62879,                0.61565,                0.37971,                 1.4222,                0.85353,                 1.1592,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.1396,                0.66704,                 1.0491,                0.73217,                0.58624,                0.61687,                0.39035,                 1.3708,                0.82348,                 1.1482,              0.0098911,              0.0098911,              0.0098911
                     24,                 1.1255,                0.65935,                 1.0478,                0.74809,                0.58917,                0.62564,                0.39419,                 1.3496,                0.81638,                 1.1244,              0.0098861,              0.0098861,              0.0098861
                     25,                 1.1371,                0.66377,                 1.0522,                0.72036,                0.61442,                0.63992,                0.39183,                 1.3885,                0.82874,                 1.1336,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.1359,                0.67179,                 1.0512,                 0.7225,                0.63469,                0.64909,                0.40616,                 1.3012,                0.79699,                 1.1171,              0.0098763,              0.0098763,              0.0098763
                     27,                 1.1396,                0.66609,                 1.0506,                0.71626,                0.64372,                0.65951,                0.40509,                 1.3307,                0.83114,                 1.1284,              0.0098713,              0.0098713,              0.0098713
                     28,                 1.1484,                0.66786,                 1.0516,                0.71569,                 0.6502,                0.66786,                0.42019,                 1.2941,                0.82963,                 1.1097,              0.0098664,              0.0098664,              0.0098664
                     29,                 1.1395,                 0.6687,                 1.0486,                0.73316,                 0.6479,                0.65791,                0.40815,                 1.3156,                0.81439,                 1.1218,              0.0098614,              0.0098614,              0.0098614
                     30,                 1.1353,                0.66271,                 1.0523,                0.72819,                0.61903,                0.63851,                 0.3971,                 1.3246,                0.83184,                 1.1205,              0.0098565,              0.0098565,              0.0098565
                     31,                 1.1352,                0.65992,                 1.0474,                 0.7079,                0.64205,                0.64813,                0.41413,                 1.3046,                0.79392,                 1.1113,              0.0098515,              0.0098515,              0.0098515
                     32,                 1.1333,                0.66397,                 1.0511,                0.69663,                0.61934,                0.63592,                 0.4075,                 1.3528,                0.79283,                 1.1236,              0.0098466,              0.0098466,              0.0098466
                     33,                 1.1284,                0.65777,                 1.0473,                0.69895,                0.65189,                0.66044,                0.42742,                 1.3138,                0.78169,                 1.1038,              0.0098416,              0.0098416,              0.0098416
                     34,                 1.1194,                0.65793,                 1.0508,                0.75292,                0.65028,                0.66114,                0.42212,                  1.295,                0.77921,                  1.106,              0.0098367,              0.0098367,              0.0098367
                     35,                 1.1364,                0.66456,                 1.0492,                0.73263,                0.62855,                0.66326,                0.42139,                 1.3444,                0.78999,                 1.1225,              0.0098317,              0.0098317,              0.0098317
                     36,                  1.131,                0.66283,                 1.0503,                0.76066,                0.63881,                0.66911,                0.42099,                 1.3425,                0.79802,                 1.1212,              0.0098268,              0.0098268,              0.0098268
                     37,                 1.1399,                0.66654,                 1.0485,                0.73597,                0.61682,                 0.6378,                0.40241,                 1.3203,                0.80616,                 1.1183,              0.0098218,              0.0098218,              0.0098218
                     38,                 1.1291,                0.66119,                 1.0467,                 0.7435,                0.61214,                0.66892,                0.41226,                 1.2906,                0.77191,                 1.1082,              0.0098169,              0.0098169,              0.0098169
                     39,                 1.1329,                0.66401,                 1.0543,                0.75916,                 0.6479,                0.66649,                0.41749,                 1.3014,                0.76676,                   1.11,              0.0098119,              0.0098119,              0.0098119
                     40,                 1.1244,                0.65777,                 1.0499,                0.74276,                0.66906,                0.67783,                0.43058,                 1.2704,                 0.7783,                 1.1049,               0.009807,               0.009807,               0.009807
                     41,                 1.1272,                0.65924,                 1.0453,                0.70596,                0.64098,                0.65499,                0.42669,                 1.2718,                0.77386,                  1.097,               0.009802,               0.009802,               0.009802
                     42,                  1.124,                0.65744,                 1.0451,                0.70852,                0.63871,                0.65104,                0.42522,                 1.2913,                0.78309,                 1.1023,               0.009797,               0.009797,               0.009797
                     43,                 1.1331,                0.65173,                 1.0461,                0.74251,                0.65469,                0.66071,                0.43093,                 1.2739,                0.76728,                 1.1021,              0.0097921,              0.0097921,              0.0097921
                     44,                 1.1303,                 0.6548,                 1.0484,                0.73401,                0.63725,                0.65351,                0.42618,                 1.3016,                0.77861,                 1.1071,              0.0097871,              0.0097871,              0.0097871
                     45,                 1.1261,                0.65213,                 1.0463,                0.72268,                 0.6334,                0.65431,                0.42668,                 1.2879,                0.75992,                 1.1057,              0.0097822,              0.0097822,              0.0097822
                     46,                 1.1299,                0.65981,                 1.0437,                0.71137,                0.65672,                0.65175,                0.41873,                 1.2999,                0.77297,                 1.1067,              0.0097773,              0.0097773,              0.0097773
                     47,                 1.1212,                0.65851,                 1.0498,                0.74259,                0.66257,                0.67824,                0.44037,                 1.2587,                0.75942,                 1.0901,              0.0097723,              0.0097723,              0.0097723
                     48,                 1.1444,                0.66764,                  1.048,                0.70446,                0.66318,                0.66709,                0.43891,                 1.2224,                0.72323,                 1.0815,              0.0097674,              0.0097674,              0.0097674
                     49,                 1.1211,                0.65257,                 1.0442,                0.69467,                0.66113,                0.65381,                0.42279,                 1.2735,                 0.7624,                 1.0975,              0.0097624,              0.0097624,              0.0097624
                     50,                 1.1124,                0.65393,                 1.0441,                0.70722,                0.64545,                0.66282,                0.43231,                 1.2406,                0.74836,                 1.0909,              0.0097575,              0.0097575,              0.0097575
                     51,                 1.1138,                0.65242,                 1.0447,                0.76858,                0.62591,                0.66451,                0.44243,                 1.3046,                0.77353,                 1.1119,              0.0097525,              0.0097525,              0.0097525
                     52,                 1.1234,                0.65601,                 1.0428,                0.73586,                0.63822,                0.65044,                0.43216,                 1.2517,                 0.7394,                 1.0856,              0.0097476,              0.0097476,              0.0097476
                     53,                 1.1191,                0.64866,                  1.038,                0.69944,                0.65584,                0.66272,                0.44364,                 1.2386,                0.75944,                 1.0894,              0.0097426,              0.0097426,              0.0097426
                     54,                 1.1197,                0.65365,                 1.0409,                0.75184,                0.64442,                0.66875,                 0.4438,                 1.2313,                0.75156,                 1.0854,              0.0097377,              0.0097377,              0.0097377
                     55,                  1.114,                0.65195,                 1.0439,                0.75617,                0.63685,                0.66161,                0.44734,                 1.2225,                0.74516,                 1.0809,              0.0097327,              0.0097327,              0.0097327
                     56,                 1.1139,                0.65363,                 1.0431,                0.72786,                 0.6483,                0.64741,                0.43852,                 1.2184,                0.75037,                 1.0811,              0.0097278,              0.0097278,              0.0097278
